mp,conjunto,codigo,quantidade_alocada,tamanho_alocado_item,ordem_global,ordem_grupo,perda_materia_prima
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,214,8,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,212,6,24.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,60,4980.0,215,9,1020.0
"('112860 - AÇO RED INOX 304 DE 1/2""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28493,72,5976.0,210,4,24.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,11,528.0,206,6,5472.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,205,5,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,204,4,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,203,3,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,202,2,0.0
"('112850 - AÇO RED INOX 304 DE 3/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28494,125,6000.0,201,1,0.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,196,4,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,193,1,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,195,3,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,198,6,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,150,4800.0,199,7,1200.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,197,5,16.0
"('112847 - AÇO REDINOX 304 DE 5/8""',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28495,187,5984.0,194,2,16.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,288,3,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,289,4,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,290,5,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,286,1,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,240,6000.0,287,2,0.0
"('134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM',)",028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28496,72,1800.0,291,6,4200.0
"('112849 - AÇO QDRINOX 304 DE 1/2""',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,28510,12,900.0,200,1,5100.0
"('124154 - AÇO TREFILADO QDR 5/16"" 1010/ 1020',)",622122 - ELEV MENOR DE ROLOS,28511,3,210.0,221,1,5790.0
